MS,X,Y,DURACAO_FRAMES,DATE_FIM
498.0,969.0,214.0,10,2022-04-10 14:16:03.513
1337.0,1147.0,615.0,26,2022-04-10 14:16:04.963
1554.0,1178.0,320.0,30,2022-04-10 14:16:07.157
427.0,1111.0,420.0,10,2022-04-10 14:16:07.643
1381.0,1028.0,295.0,25,2022-04-10 14:16:09.083
832.0,1035.0,189.0,16,2022-04-10 14:16:09.967
294.0,1190.0,211.0,7,2022-04-10 14:16:10.307
497.0,1123.0,196.0,11,2022-04-10 14:16:11.144
1084.0,1254.0,200.0,20,2022-04-10 14:16:12.276
503.0,1153.0,592.0,11,2022-04-10 14:16:12.884
248.0,1048.0,508.0,6,2022-04-10 14:16:13.178
206.0,1077.0,311.0,5,2022-04-10 14:16:13.429
102.0,1118.0,209.0,3,2022-04-10 14:16:13.583
249.0,1142.0,589.0,6,2022-04-10 14:16:13.942
552.0,1118.0,435.0,10,2022-04-10 14:16:14.545
460.0,992.0,295.0,9,2022-04-10 14:16:15.056
104.0,990.0,176.0,3,2022-04-10 14:16:15.209
443.0,989.0,625.0,10,2022-04-10 14:16:15.754
200.0,560.0,631.0,5,2022-04-10 14:16:16.054
258.0,966.0,314.0,6,2022-04-10 14:16:16.362
1808.0,1091.0,273.0,35,2022-04-10 14:16:18.218
260.0,708.0,386.0,6,2022-04-10 14:16:18.763
391.0,1005.0,322.0,9,2022-04-10 14:16:19.202
1519.0,1132.0,314.0,29,2022-04-10 14:16:20.774
239.0,1063.0,230.0,6,2022-04-10 14:16:24.616
110.0,1213.0,210.0,3,2022-04-10 14:16:24.772
450.0,1116.0,251.0,10,2022-04-10 14:16:26.404
388.0,1262.0,238.0,9,2022-04-10 14:16:26.836
196.0,1083.0,221.0,5,2022-04-10 14:16:27.086
356.0,938.0,221.0,8,2022-04-10 14:16:27.492
507.0,1126.0,216.0,10,2022-04-10 14:16:28.045
107.0,1101.0,452.0,3,2022-04-10 14:16:28.204
913.0,1139.0,405.0,19,2022-04-10 14:16:29.725
444.0,1058.0,511.0,10,2022-04-10 14:16:30.215
212.0,1048.0,633.0,5,2022-04-10 14:16:30.940
146.0,1174.0,240.0,3,2022-04-10 14:16:31.143
483.0,1067.0,301.0,11,2022-04-10 14:16:31.755
304.0,1201.0,180.0,7,2022-04-10 14:16:32.102
465.0,1076.0,600.0,11,2022-04-10 14:16:32.695
299.0,1112.0,710.0,7,2022-04-10 14:16:33.054
368.0,1078.0,428.0,8,2022-04-10 14:16:33.479
541.0,1065.0,593.0,11,2022-04-10 14:16:34.193
104.0,1057.0,488.0,3,2022-04-10 14:16:34.353
878.0,1057.0,366.0,19,2022-04-10 14:16:35.281
1790.0,1102.0,498.0,34,2022-04-10 14:16:37.120
1959.0,1001.0,567.0,39,2022-04-10 14:16:39.133
734.0,895.0,538.0,13,2022-04-10 14:16:39.927
1351.0,977.0,593.0,27,2022-04-10 14:16:41.423
447.0,1091.0,629.0,9,2022-04-10 14:16:41.921
798.0,912.0,627.0,17,2022-04-10 14:16:42.775
243.0,1039.0,630.0,6,2022-04-10 14:16:43.070
190.0,1180.0,507.0,5,2022-04-10 14:16:43.312
443.0,1103.0,609.0,10,2022-04-10 14:16:43.808
732.0,908.0,618.0,12,2022-04-10 14:16:44.611
146.0,554.0,624.0,4,2022-04-10 14:16:44.927
483.0,890.0,617.0,11,2022-04-10 14:16:45.515
1004.9999999999999,1191.0,574.0,20,2022-04-10 14:16:46.663
461.0,1093.0,666.0,10,2022-04-10 14:16:48.203
112.0,1239.0,568.0,3,2022-04-10 14:16:49.680
352.0,1192.0,677.0,7,2022-04-10 14:16:50.078
240.0,1028.0,635.0,5,2022-04-10 14:16:51.028
656.0,924.0,644.0,12,2022-04-10 14:16:51.881
396.0,1074.0,638.0,7,2022-04-10 14:16:52.343
685.0,920.0,630.0,12,2022-04-10 14:16:53.292
201.0,1020.0,631.0,5,2022-04-10 14:16:53.545
144.0,1010.0,636.0,4,2022-04-10 14:16:53.907
367.0,888.0,643.0,8,2022-04-10 14:16:54.327
339.0,1005.0,646.0,7,2022-04-10 14:16:54.725
641.0,1113.0,641.0,12,2022-04-10 14:16:55.465
161.0,1012.0,650.0,4,2022-04-10 14:16:55.673
1564.0,1110.0,595.0,28,2022-04-10 14:16:57.412
307.0,1250.0,467.0,6,2022-04-10 14:16:57.935
908.0,1176.0,622.0,16,2022-04-10 14:16:58.909
352.0,1215.0,625.0,8,2022-04-10 14:16:59.528
364.0,1034.0,630.0,7,2022-04-10 14:16:59.945
679.0,1160.0,635.0,12,2022-04-10 14:17:00.704
1237.0,1174.0,618.0,23,2022-04-10 14:17:02.288
111.0,1224.0,467.0,3,2022-04-10 14:17:02.456
201.0,1216.0,577.0,4,2022-04-10 14:17:02.733
635.0,1054.0,635.0,11,2022-04-10 14:17:03.448
914.0,1175.0,626.0,16,2022-04-10 14:17:04.423
373.0,1041.0,642.0,7,2022-04-10 14:17:04.851
361.0,1163.0,645.0,7,2022-04-10 14:17:05.286
193.0,1264.0,642.0,3,2022-04-10 14:17:05.548
1116.0,1260.0,634.0,19,2022-04-10 14:17:06.960
133.0,1148.0,630.0,3,2022-04-10 14:17:07.151
221.0,1024.0,629.0,5,2022-04-10 14:17:07.431
187.0,1177.0,617.0,4,2022-04-10 14:17:07.676
530.0,1029.0,631.0,9,2022-04-10 14:17:08.265
459.0,1232.0,650.0,7,2022-04-10 14:17:08.793
1318.0,1128.0,654.0,24,2022-04-10 14:17:10.177
943.0,1036.0,641.0,16,2022-04-10 14:17:11.321
240.0,1178.0,666.0,5,2022-04-10 14:17:11.634
107.0,1056.0,660.0,3,2022-04-10 14:17:11.794
